id,rank,title,score,genre,episodes,members,rating
5114,1,b'Fullmetal Alchemist: Brotherhood',9.1,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",64,"3,159,505","{10: 970265, 9: 552532, 8: 282605, 7: 101408, 6: 30217, 5: 14523, 4: 5220, 3: 2558, 2: 3177, 1: 47426}"
41467,2,b'Bleach: Sennen Kessen-hen',9.07,"['Action', 'Adventure', 'Fantasy', 'Shounen']",13,"433,719","{10: 103518, 9: 53565, 8: 28173, 7: 9518, 6: 2786, 5: 1193, 4: 679, 3: 358, 2: 765, 1: 5356}"
9253,3,b'Steins;Gate',9.07,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",24,"2,426,942","{10: 616970, 9: 370426, 8: 193430, 7: 80248, 6: 29828, 5: 15707, 4: 7530, 3: 3465, 2: 2609, 1: 9296}"
38524,4,b'Shingeki no Kyojin Season 3 Part 2',9.06,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",10,"2,087,057","{10: 637285, 9: 469063, 8: 234557, 7: 75471, 6: 19999, 5: 7162, 4: 2798, 3: 1415, 2: 1112, 1: 11955}"
51535,5,b'Shingeki no Kyojin: The Final Season - Kanketsu-hen',9.06,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",2,"418,755","{10: 78657, 9: 38167, 8: 15738, 7: 5128, 6: 1700, 5: 921, 4: 468, 3: 323, 2: 342, 1: 4203}"
28977,6,b'Gintama\xc2\xb0',9.06,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",51,"591,658","{10: 115847, 9: 53812, 8: 30843, 7: 14901, 6: 5670, 5: 3380, 4: 1403, 3: 943, 2: 1372, 1: 8387}"
43608,7,b'Kaguya-sama wa Kokurasetai: Ultra Romantic',9.05,"['Comedy', 'Romance', 'School', 'Seinen']",13,"807,435","{10: 196426, 9: 137446, 8: 68347, 7: 20524, 6: 5326, 5: 2236, 4: 889, 3: 496, 2: 625, 1: 9927}"
9969,8,"b""Gintama'""",9.04,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",51,"521,742","{10: 101450, 9: 62426, 8: 34350, 7: 13517, 6: 4440, 5: 2343, 4: 954, 3: 488, 2: 567, 1: 4275}"
39486,9,b'Gintama: The Final',9.04,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",1,"131,213","{10: 36787, 9: 11871, 8: 6180, 7: 2687, 6: 957, 5: 463, 4: 200, 3: 169, 2: 258, 1: 3219}"
11061,10,b'Hunter x Hunter (2011)',9.04,"['Action', 'Adventure', 'Fantasy', 'Shounen']",148,"2,639,453","{10: 693488, 9: 494766, 8: 280206, 7: 110884, 6: 32502, 5: 13933, 4: 5102, 3: 2127, 2: 1600, 1: 6456}"
